"i create ","je crée"
"i send ","j'envoie"
"i sent ","j'envoie"
"i have sent ","j'envoie"
"you send ","vous envoyez"
"you sent ","vous envoyez"
"you have sent ","vous envoyez"
"he sent ","il envoie"
"he has sent ","il envoie"
"she sent ","elle envoie"
"she has sent ","elle envoie"
"we sent ","nous envoyons"
"we have sent ","nous envoyons"
"we send ","nous envoyons"
"they sent ","ils envoient"
"they send ","ils envoient"
"they have sent ","ils envoient"
"i lower ","je abaissé"
"you lower ","vous abaisséz"
"he lowers ",il abaissé"
"she lowers ","elle abaissé"
"we lower ","nous abaissons"
"they lower ","ils abaissént"
